XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
338686.37847662,4288083.13116382,1,2,1,1319.99494045548
338686.37847662,4288083.13116382,1,7,4,860.217827260242
338686.37847662,4288083.13116382,1,10,5,849.09626222228
339607.54370664,4288064.79035137,2,1,1,1319.99494045548
343139.72924921,4288285.41820830,3,4,2,326.453170378053
343139.72924921,4288285.41820830,3,5,3,857.887858170831
343139.72924921,4288285.41820830,3,84,42,770.485288751673
343227.36850078,4288003.61843411,4,3,2,326.453170378053
343199.93193241,4287853.17037916,5,3,3,857.887858170831
339295.59090211,4288418.64363029,7,1,4,860.217827260242
339295.59090211,4288418.64363029,7,15,8,300.417240448264
339295.59090211,4288418.64363029,7,92,68,10603.4412772385
338348.02473326,4288462.98355879,10,1,5,849.09626222228
338348.02473326,4288462.98355879,10,14,7,280.307340492469
338348.02473326,4288462.98355879,10,21,11,175.608750443039
337752.82918841,4288082.46838206,11,12,6,558.598053558315
337979.81061227,4288469.36197641,12,11,6,558.598053558315
337979.81061227,4288469.36197641,12,17,9,307.6692382373
337979.81061227,4288469.36197641,12,34,17,372.79309962334
338600.44522525,4288480.69744468,14,10,7,280.307340492469
338600.44522525,4288480.69744468,14,23,13,182.897194679512
338600.44522525,4288480.69744468,14,98,49,1079.86074580775
339336.02805984,4288541.74080800,15,7,8,300.417240448264
339336.02805984,4288541.74080800,15,20,10,191.327358657444
339336.02805984,4288541.74080800,15,55,28,1058.30807445279
337879.86402110,4288447.76041177,17,12,9,307.6692382373
339444.91802546,4288522.88938350,20,15,10,191.327358657444
338312.07735227,4288630.10646270,21,10,11,175.608750443039
338312.07735227,4288630.10646270,21,27,14,367.109987933274
338312.07735227,4288630.10646270,21,35,18,150.816749125443
338574.45938358,4288653.42342242,23,24,12,117.03825723555
338574.45938358,4288653.42342242,23,14,13,182.897194679512
338574.45938358,4288653.42342242,23,31,16,50.0291015009353
338530.77909575,4288545.07274821,24,23,12,117.03825723555
338478.55997826,4288687.03374259,27,21,14,367.109987933274
338478.55997826,4288687.03374259,27,30,15,24.490742942077
338478.55997826,4288687.03374259,27,62,32,253.814072206908
338491.43375712,4288666.19958056,30,27,15,24.490742942077
338576.02325779,4288703.07512864,31,23,16,50.0291015009353
338576.02325779,4288703.07512864,31,42,21,493.797989582407
338576.02325779,4288703.07512864,31,74,38,299.349625941048
338116.64830437,4288730.38291311,34,12,17,372.79309962334
338116.64830437,4288730.38291311,34,35,20,272.373151953853
338116.64830437,4288730.38291311,34,62,31,302.458426048994
338251.68270173,4288744.84554685,35,21,18,150.816749125443
338251.68270173,4288744.84554685,35,38,19,89.1864410212101
338251.68270173,4288744.84554685,35,34,20,272.373151953853
338280.40466201,4288666.45564702,38,35,19,89.1864410212101
338733.02934883,4288768.02703597,42,31,21,493.797989582407
338733.02934883,4288768.02703597,42,45,23,19.4906246715189
338733.02934883,4288768.02703597,42,52,26,140.289903554972
338865.37946865,4288756.13061674,43,44,22,28.6723291360517
338852.06681104,4288781.52501781,44,43,22,28.6723291360517
338852.06681104,4288781.52501781,44,45,25,124.517816259505
338852.06681104,4288781.52501781,44,128,64,421.440495473091
338741.81726286,4288785.42407645,45,42,23,19.4906246715189
338741.81726286,4288785.42407645,45,48,24,60.7541612554092
338741.81726286,4288785.42407645,45,44,25,124.517816259505
338741.81726286,4288785.42407645,45,52,27,129.764856347073
338786.96011918,4288747.27173257,48,45,24,60.7541612554092
338628.43603579,4288845.01141501,52,42,26,140.289903554972
338628.43603579,4288845.01141501,52,45,27,129.764856347073
338628.43603579,4288845.01141501,52,71,36,105.127387454859
340040.34383729,4288861.19859346,55,15,28,1058.30807445279
338654.64677895,4288884.49305122,57,58,29,19.1446443735073
338654.64677895,4288884.49305122,57,60,30,113.757668177335
338654.64677895,4288884.49305122,57,94,48,78.3455508575444
338640.19149349,4288871.94067573,58,57,29,19.1446443735073
338748.16297189,4288826.06360308,60,57,30,113.757668177335
338348.97319592,4288890.20913741,62,34,31,302.458426048994
338348.97319592,4288890.20913741,62,27,32,253.814072206908
338348.97319592,4288890.20913741,62,67,35,18.3921925588468
338339.18812184,4288903.80862437,65,66,33,103.841012271593
338339.18812184,4288903.80862437,65,67,34,17.0175539183174
338339.18812184,4288903.80862437,65,104,52,106.895088201058
338236.36209233,4288898.08243437,66,65,33,103.841012271593
338236.36209233,4288898.08243437,66,78,39,148.962572492281
338236.36209233,4288898.08243437,66,99,51,227.218512743612
338355.85053172,4288907.26712673,67,65,34,17.0175539183174
338355.85053172,4288907.26712673,67,62,35,18.3921925588468
338355.85053172,4288907.26712673,67,74,37,27.2615535995556
338558.76494087,4288907.69919477,71,52,36,105.127387454859
338558.76494087,4288907.69919477,71,85,43,87.0893240047175
338558.76494087,4288907.69919477,71,90,45,117.702968521523
338381.58252103,4288916.27029455,74,67,37,27.2615535995556
338381.58252103,4288916.27029455,74,31,38,299.349625941048
338381.58252103,4288916.27029455,74,85,44,97.0764829721774
338089.28505904,4288919.03791155,78,66,39,148.962572492281
338089.28505904,4288919.03791155,78,79,41,10.2308170974794
338089.28505904,4288919.03791155,78,99,50,83.6950582615866
338079.76059094,4288922.77343373,79,80,40,233.155567700658
338079.76059094,4288922.77343373,79,78,41,10.2308170974794
338079.76059094,4288922.77343373,79,108,54,113.601515512728
337968.74091717,4288737.61247878,80,79,40,233.155567700658
343014.50526495,4288930.91161450,84,3,42,770.485288751673
343014.50526495,4288930.91161450,84,92,46,189.48968667983
343014.50526495,4288930.91161450,84,118,59,404.454781967322
338475.86730831,4288933.92923729,85,71,43,87.0893240047175
338475.86730831,4288933.92923729,85,74,44,97.0764829721774
338475.86730831,4288933.92923729,85,110,55,152.46345241067
338668.78031288,4288947.22390593,90,71,45,117.702968521523
338668.78031288,4288947.22390593,90,94,47,18.9463282610534
338668.78031288,4288947.22390593,90,142,71,170.529651445188
342877.82293721,4288864.69873570,92,84,46,189.48968667983
342877.82293721,4288864.69873570,92,7,68,10603.4412772385
342877.82293721,4288864.69873570,92,199,105,2847.07919287964
338685.69328244,4288955.76292315,94,90,47,18.9463282610534
338685.69328244,4288955.76292315,94,57,48,78.3455508575444
338685.69328244,4288955.76292315,94,114,57,111.753386291196
339247.70048873,4288979.14945191,98,14,49,1079.86074580775
339247.70048873,4288979.14945191,98,128,65,192.099447308541
339247.70048873,4288979.14945191,98,222,111,1073.57767143311
338108.90258807,4288989.08396462,99,78,50,83.6950582615866
338108.90258807,4288989.08396462,99,66,51,227.218512743612
338108.90258807,4288989.08396462,99,124,62,81.6541415869998
338383.89167750,4288989.27758879,104,65,52,106.895088201058
338383.89167750,4288989.27758879,104,106,53,50.6212024329343
338383.89167750,4288989.27758879,104,112,56,106.631915759587
338432.56715829,4289003.17736236,106,104,53,50.6212024329343
338004.53609725,4289005.04201569,108,79,54,113.601515512728
338004.53609725,4289005.04201569,108,116,58,61.416624160807
338004.53609725,4289005.04201569,108,140,70,118.43326310865
