XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
425508.43078028,4921121.74963005,1,2,1,8084.32719306726
425508.43078028,4921121.74963005,1,4,13965,76.6028513208578
430128.44698940,4915462.76749543,2,1,1,8084.32719306726
424259.65716573,4922011.55847068,3,4,2,1568.86219626847
424259.65716573,4922011.55847068,3,6,13966,136.42204677177
425522.02751316,4921197.13613870,4,3,2,1568.86219626847
425522.02751316,4921197.13613870,4,1,13965,76.6028513208578
416158.98735050,4921515.37780222,5,6,3,9133.58070458269
416158.98735050,4921515.37780222,5,8,5,15465.3914124217
424162.25246850,4921916.04250447,6,5,3,9133.58070458269
424162.25246850,4921916.04250447,6,3,13966,136.42204677177
389341.73826498,4923121.29334014,7,8,4,20284.7903892393
389341.73826498,4923121.29334014,7,12,13967,117.206895944316
404731.64268372,4926065.49618802,8,7,4,20284.7903892393
404731.64268372,4926065.49618802,8,5,5,15465.3914124217
387877.44819180,4931996.54665523,11,12,6,9764.26024179091
387877.44819180,4931996.54665523,11,14,13968,117.206207177483
389247.84372664,4923191.44511936,12,11,6,9764.26024179091
389247.84372664,4923191.44511936,12,7,13967,117.206895944316
382551.19939337,4937373.19450533,13,14,7,9199.58305686761
382551.19939337,4937373.19450533,13,17,9,14090.2142055324
387977.83929169,4932057.03567954,14,13,7,9199.58305686761
387977.83929169,4932057.03567954,14,11,13968,117.206207177483
345922.49626366,4939603.72090842,15,16,8,3415.8514983117
346546.06317278,4942903.12159976,16,15,8,3415.8514983117
373046.48865998,4945469.99761847,17,13,9,14090.2142055324
373046.48865998,4945469.99761847,17,30,13969,214.387854788996
404505.93541598,4934494.12565719,19,20,10,13062.5983995723
400216.98390615,4946054.60521939,20,19,10,13062.5983995723
398564.27412165,4946811.37882902,21,22,11,1104.54510852094
399644.28654577,4947042.88057958,22,21,11,1104.54510852094
399644.28654577,4947042.88057958,22,28,14,24682.3361745327
399644.28654577,4947042.88057958,22,31,16,3799.51019586042
356634.11202626,4944518.87338834,23,24,12,2777.38612834302
357097.75062427,4947254.90936048,24,23,12,2777.38612834302
357097.75062427,4947254.90936048,24,56,28,11016.0010289057
357082.52235933,4947255.97977895,25,26,13,2774.66954270161
357082.52235933,4947255.97977895,25,53,27,11009.4933813765
356615.09274743,4944524.25788469,26,25,13,2774.66954270161
423423.97220982,4946529.54714002,28,22,14,24682.3361745327
362475.86121259,4950034.89080544,29,30,15,12561.0070595863
362475.86121259,4950034.89080544,29,37,19,6893.09109511064
372853.17819498,4945562.69722151,30,29,15,12561.0070595863
372853.17819498,4945562.69722151,30,17,13969,214.387854788996
399793.46111259,4950689.65002826,31,22,16,3799.51019586042
350935.90047523,4952447.94132367,33,34,17,855.759779283313
350935.90047523,4952447.94132367,33,36,18,3336.61414171612
350935.90047523,4952447.94132367,33,44,23,4342.41569686852
350970.56085629,4951592.88374794,34,33,17,855.759779283313
354218.07713472,4952148.52044681,36,33,18,3336.61414171612
354218.07713472,4952148.52044681,36,51,26,5461.59425703604
357562.22406651,4952437.54686817,37,29,19,6893.09109511064
360142.28292825,4953529.59709874,39,40,20,16822.6981764253
372494.64831818,4945667.89504971,40,39,20,16822.6981764253
357582.77615915,4952440.18254945,41,42,21,1518.5601818116
357391.92141753,4953938.42318328,42,41,21,1518.5601818116
357391.92141753,4953938.42318328,42,58,29,4096.92236387406
346933.81239818,4953504.33015174,43,44,22,819.109172972941
347439.76082999,4954124.08432360,44,43,22,819.109172972941
347439.76082999,4954124.08432360,44,33,23,4342.41569686852
347439.76082999,4954124.08432360,44,47,24,3053.10899955828
347439.76082999,4954124.08432360,44,257,130,22535.354148709
344613.77033161,4954888.33112529,47,44,24,3053.10899955828
400762.36506746,4955309.32246626,49,50,25,2536.03575873945
398905.91358873,4956543.75305185,50,49,25,2536.03575873945
353661.44946459,4957440.89854153,51,36,26,5461.59425703604
357719.59344001,4957910.90001655,53,25,27,11009.4933813765
357719.59344001,4957910.90001655,53,63,32,694.076013174016
357734.27360005,4957916.26582207,56,24,28,11016.0010289057
357749.91239077,4957916.99827462,58,42,29,4096.92236387406
357749.91239077,4957916.99827462,58,66,33,692.079587157737
389982.75007481,4958492.03898226,59,60,30,4103.05416320745
389982.75007481,4958492.03898226,59,61,31,536.550050458227
389982.75007481,4958492.03898226,59,118,59,4731.6273245465
385947.70431378,4957749.73918742,60,59,30,4103.05416320745
390068.81374330,4957962.43629947,61,59,31,536.550050458227
357628.70111890,4958598.62833752,63,53,32,694.076013174016
357628.70111890,4958598.62833752,63,166,13970,314.015878453923
357649.82006015,4958601.28418883,66,58,33,692.079587157737
357649.82006015,4958601.28418883,66,221,13971,314.95534279274
457414.75088317,4958353.03714540,67,68,34,859.157127613623
458051.80173845,4958922.97730019,68,67,34,859.157127613623
458051.80173845,4958922.97730019,68,69,35,1191.00603517632
458051.80173845,4958922.97730019,68,72,36,1460.06140675538
457022.92369156,4958566.38678189,69,68,35,1191.00603517632
459275.55813753,4959648.36094603,72,68,36,1460.06140675538
459275.55813753,4959648.36094603,72,74,37,877.669436231632
459275.55813753,4959648.36094603,72,76,38,399.70272938971
460128.89207599,4959853.60428638,74,72,37,877.669436231632
460128.89207599,4959853.60428638,74,81,41,272.383921512469
460128.89207599,4959853.60428638,74,102,52,683.933660967768
459306.10195928,4960036.09710774,76,72,38,399.70272938971
459306.10195928,4960036.09710774,76,77,39,271.822437509939
