XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
188203.43083812,3944352.29147242,1,2,1,553.503601583225
188203.43083812,3944352.29147242,1,35783,17892,66.5744465164225
188586.46957108,3944751.13574376,2,1,1,553.503601583225
188586.46957108,3944751.13574376,2,9,17894,649.289134122831
188582.30726038,3944761.60316745,3,4,2,558.690451355215
188582.30726038,3944761.60316745,3,12,17895,648.673725272995
188195.50467978,3944359.19093402,4,3,2,558.690451355215
188195.50467978,3944359.19093402,4,35786,17893,64.1423728497582
193075.96703847,3944868.45632889,5,6,3,214.878878984409
193230.41385546,3945017.81769172,6,5,3,214.878878984409
193230.41385546,3945017.81769172,6,8,4,104.953268846953
193230.41385546,3945017.81769172,6,14,7,855.390478289234
193266.75968861,3944919.35872029,8,6,4,104.953268846953
189094.06739642,3945155.54362777,9,10,5,546.29677035037
189094.06739642,3945155.54362777,9,2,17894,649.289134122831
189550.98355999,3945454.45816487,10,9,5,546.29677035037
189550.98355999,3945454.45816487,10,17,17896,150.100032631316
189543.97858272,3945465.39082646,11,12,6,545.019181931533
189543.97858272,3945465.39082646,11,20,17897,150.03624139204
189088.08749813,3945167.24085890,12,11,6,545.019181931533
189088.08749813,3945167.24085890,12,3,17895,648.673725272995
193842.67681859,3945614.92624637,14,6,7,855.390478289234
189902.59537572,3945051.91700728,15,16,8,1545.23633170436
189069.74779691,3946353.40637795,16,15,8,1545.23633170436
189069.74779691,3946353.40637795,16,73,37,3714.40425388182
189069.74779691,3946353.40637795,16,73,38,3705.09352094471
189676.92522363,3945536.12037864,17,18,9,1397.50276587013
189676.92522363,3945536.12037864,17,10,17896,150.100032631316
190797.63682237,3946365.98820362,18,17,9,1397.50276587013
190797.63682237,3946365.98820362,18,23,17898,282.210585496846
190784.28677891,3946382.85102073,19,20,10,1396.71624176296
190784.28677891,3946382.85102073,19,26,17899,269.700258016189
189669.86464371,3945547.02153992,20,19,10,1396.71624176296
189669.86464371,3945547.02153992,20,11,17897,150.03624139204
194817.95546704,3946568.15372628,21,22,11,350.845474072547
195095.13051040,3946783.25031392,22,21,11,350.845474072547
195095.13051040,3946783.25031392,22,28,14,1855.29815151948
195095.13051040,3946783.25031392,22,33,17,2718.65915399838
191004.77922435,3946557.65155397,23,24,12,606.67905041149
