XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
470356.97179891,4563980.18712249,1,2,1,2337.33615920115
470356.97179891,4563980.18712249,1,4,3,1218.04280531799
470356.97179891,4563980.18712249,1,7,4,2127.63855643558
470316.10524095,4561643.21716085,2,1,1,2337.33615920115
467046.67355739,4561908.26078566,3,4,2,4163.51605548979
469147.54667818,4564124.82167206,4,3,2,4163.51605548979
469147.54667818,4564124.82167206,4,1,3,1218.04280531799
469147.54667818,4564124.82167206,4,12,6,2236.93774178132
470399.35428702,4566107.10743748,7,1,4,2127.63855643558
470399.35428702,4566107.10743748,7,10,5,1663.52785724461
470399.35428702,4566107.10743748,7,12,7,1207.03630058097
470399.35428702,4566107.10743748,7,21,11,7873.09699953152
471925.03976937,4565647.99667695,10,7,5,1663.52785724461
469219.19338496,4566360.39951429,12,4,6,2236.93774178132
469219.19338496,4566360.39951429,12,7,7,1207.03630058097
469219.19338496,4566360.39951429,12,15,8,186.152671653034
469223.59128608,4566546.50022796,15,12,8,186.152671653034
469223.59128608,4566546.50022796,15,18,9,6381.65872596262
469223.59128608,4566546.50022796,15,23,12,7877.94215801325
462987.51980346,4567678.61811245,18,15,9,6381.65872596262
463795.68479487,4569173.88750983,19,20,10,473.514614225409
464032.38962094,4568928.53214662,20,19,10,473.514614225409
472884.57131374,4573502.08396821,21,7,11,7873.09699953152
472884.57131374,4573502.08396821,21,23,13,1090.27616819134
472884.57131374,4573502.08396821,21,67,34,14275.327044574
471801.00626737,4573622.86854177,23,15,12,7877.94215801325
471801.00626737,4573622.86854177,23,21,13,1090.27616819134
471801.00626737,4573622.86854177,23,29,15,2908.52827990086
471801.00626737,4573622.86854177,23,33,17,8500.95860918966
464592.08571961,4570170.16417411,27,28,14,5159.11102420606
468224.04375075,4573667.41694366,28,27,14,5159.11102420606
468910.38123820,4573945.08538759,29,23,15,2908.52827990086
469000.95055620,4574250.20790346,31,32,16,1874.87735411152
470399.03741695,4575464.37917637,32,31,16,1874.87735411152
472525.95361437,4582091.95605502,33,23,17,8500.95860918966
472525.95361437,4582091.95605502,33,35,18,602.310767498227
472525.95361437,4582091.95605502,33,40,20,1341.24033274382
472525.95361437,4582091.95605502,33,71,36,5394.9529026506
473127.52575741,4582062.13630715,35,33,18,602.310767498227
470136.09728572,4582391.16424841,37,38,19,416.61545406893
469727.30832380,4582444.07426618,38,37,19,416.61545406893
471258.29337338,4582485.09811721,40,33,20,1341.24033274382
485794.40383408,4582814.42868236,41,42,21,3395.93867711633
482915.61076072,4584309.64242164,42,41,21,3395.93867711633
482915.61076072,4584309.64242164,42,49,17759,48.9706526349479
483575.72794631,4584625.23796143,43,44,22,3672.10220119163
483575.72794631,4584625.23796143,43,56,17760,109.846150999374
486686.91914942,4582773.00002420,44,43,22,3672.10220119163
486686.91914942,4582773.00002420,44,35514,17757,184.72495393726
486688.91351203,4582784.69761210,45,46,23,3670.97560128095
486688.91351203,4582784.69761210,45,35515,17758,181.719015594464
483579.48437629,4584638.01872810,46,45,23,3670.97560128095
483579.48437629,4584638.01872810,46,59,17761,107.420238984924
485246.91222888,4579673.48679714,47,48,24,7765.42633864842
481370.72531270,4584734.56752493,48,47,24,7765.42633864842
481370.72531270,4584734.56752493,48,49,25,1555.96924554347
481370.72531270,4584734.56752493,48,52,26,937.420971556983
481370.72531270,4584734.56752493,48,67,35,5120.37538357161
482869.71640586,4584326.72554230,49,48,25,1555.96924554347
482869.71640586,4584326.72554230,49,42,17759,48.9706526349479
481417.95760380,4585670.58668108,52,48,26,937.420971556983
481417.95760380,4585670.58668108,52,53,27,570.994558632144
481417.95760380,4585670.58668108,52,123,63,4967.4153226292
481988.77342967,4585684.87230051,53,52,27,570.994558632144
481988.77342967,4585684.87230051,53,56,28,1803.00249635137
