XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
0,0,0,69,1,1
0,0,0,1,2,1
0,0,0,68,3,1
0,0,1,70,4,1
0,0,1,2,5,1
0,0,1,0,6,1
0,0,1,69,7,1
0,0,2,71,8,1
0,0,2,3,9,1
0,0,2,1,10,1
0,0,2,70,11,1
0,0,3,72,12,1
0,0,3,4,13,1
0,0,3,2,14,1
0,0,3,71,15,1
0,0,4,73,16,1
0,0,4,5,17,1
0,0,4,3,18,1
0,0,4,72,19,1
0,0,5,74,20,1
0,0,5,6,21,1
0,0,5,4,22,1
0,0,5,73,23,1
0,0,6,75,24,1
0,0,6,7,25,1
0,0,6,5,26,1
0,0,6,74,27,1
0,0,7,76,28,1
0,0,7,8,29,1
0,0,7,6,30,1
0,0,7,75,31,1
0,0,8,77,32,1
0,0,8,9,33,1
0,0,8,7,34,1
0,0,8,76,35,1
0,0,9,78,36,1
0,0,9,10,37,1
0,0,9,8,38,1
0,0,9,77,39,1
0,0,10,79,40,1
0,0,10,11,41,1
0,0,10,9,42,1
0,0,10,78,43,1
0,0,11,80,44,1
0,0,11,12,45,1
0,0,11,10,46,1
0,0,11,79,47,1
0,0,12,81,48,1
0,0,12,13,49,1
0,0,12,11,50,1
0,0,12,80,51,1
0,0,13,82,52,1
0,0,13,14,53,1
0,0,13,12,54,1
0,0,13,81,55,1
0,0,14,83,56,1
0,0,14,15,57,1
0,0,14,13,58,1
0,0,14,82,59,1
0,0,15,84,60,1
0,0,15,16,61,1
0,0,15,14,62,1
0,0,15,83,63,1
0,0,16,85,64,1
0,0,16,17,65,1
0,0,16,15,66,1
0,0,16,84,67,1
0,0,17,86,68,1
0,0,17,18,69,1
0,0,17,16,70,1
0,0,17,85,71,1
0,0,18,87,72,1
0,0,18,19,73,1
0,0,18,17,74,1
0,0,18,86,75,1
0,0,19,88,76,1
0,0,19,20,77,1
0,0,19,18,78,1
0,0,19,87,79,1
0,0,20,89,80,1
0,0,20,21,81,1
0,0,20,19,82,1
0,0,20,88,83,1
0,0,21,90,84,1
0,0,21,22,85,1
0,0,21,20,86,1
0,0,21,89,87,1
0,0,22,91,88,1
0,0,22,23,89,1
0,0,22,21,90,1
0,0,22,90,91,1
0,0,23,92,92,1
0,0,23,24,93,1
0,0,23,22,94,1
0,0,23,91,95,1
0,0,24,93,96,1
0,0,24,25,97,1
0,0,24,23,98,1
0,0,24,92,99,1
0,0,25,94,100,1
0,0,25,26,101,1
0,0,25,24,102,1
0,0,25,93,103,1
0,0,26,95,104,1
0,0,26,27,105,1
0,0,26,25,106,1
0,0,26,94,107,1
0,0,27,96,108,1
0,0,27,28,109,1
0,0,27,26,110,1
0,0,27,95,111,1
0,0,28,97,112,1
0,0,28,29,113,1
0,0,28,27,114,1
0,0,28,96,115,1
0,0,29,98,116,1
0,0,29,30,117,1
0,0,29,28,118,1
0,0,29,97,119,1
0,0,30,99,120,1
0,0,30,31,121,1
0,0,30,29,122,1
0,0,30,98,123,1
0,0,31,100,124,1
0,0,31,32,125,1
0,0,31,30,126,1
0,0,31,99,127,1
0,0,32,101,128,1
0,0,32,33,129,1
0,0,32,31,130,1
0,0,32,100,131,1
0,0,33,102,132,1
0,0,33,34,133,1
0,0,33,32,134,1
0,0,33,101,135,1
0,0,34,103,136,1
0,0,34,35,137,1
0,0,34,33,138,1
0,0,34,102,139,1
0,0,35,104,140,1
0,0,35,36,141,1
0,0,35,34,142,1
0,0,35,103,143,1
0,0,36,105,144,1
0,0,36,37,145,1
0,0,36,35,146,1
0,0,36,104,147,1
0,0,37,106,148,1
0,0,37,38,149,1
0,0,37,36,150,1
0,0,37,105,151,1
0,0,38,107,152,1
